id,total_comments,total_replies_received
@JuliaLaborda-r7g,1,0
@Alice_Iarochinski,1,0
@mrdezin,1,0
@teresinhadeaguiarfrancio8875,1,0
@Leo-sd4fw,1,1
@LanaCosta-r1n,1,0
@MauroMárciojúnior,1,0
@TamilysBatista,1,2
@virginiapereirasalgado7086,1,0
@shototodoroki-s5m,1,0
@Xbacon_advogado,1,0
@angelicacatarina4472,8,0
@vanessamarttin1318,1,0
@emersonmendespereira7229,1,0
@simonedias9560,1,0
@adeliciomodesto123,1,0
@mateusvala,1,0
@prvictoroficial,1,0
@CatarinaMendonca-kn9zw,2,0
@Brafotos,1,0
@Gab0dArknEss,1,0
@antoniogubernale5493,1,0
@vaicorinthians321disgramaff,1,0
@cyntiasantiago8983,1,0
@NicollyAnger,1,0
@Lucaswxalenda2.0,2,0
@lucassilvacoelho2388,1,0
@andreadias5798,1,0
@RobertHugo-c4e1w,1,0
@Meier_Marcos,1,0
@abelsouza2540,2,0
@ninguemespecial2203,1,0
@Leoblox-i2s,3,0
@editsdoheitorsussai,1,0
@alexandremagno1296,1,0
@SOPHIADASILVARODRIGUESCOSTAAlu,1,0
@PROFIGAN,1,0
@chandramesquita7149,1,0
@ozieljunio3203,1,0
@kellysilva7251,1,0
@feon1970,1,0
@Geometria.Espacial,1,0
@Herk2469,1,0
@AlineThawane,1,0
@HYDRA11813,1,0
@MariaVitoria-f3q,1,0
@assissantos8452,1,0
@ErickSallesSouzadeCarvalho,1,0
@futleck,1,0
@MarliBella10,1,0
@jadyberbel2575,1,0
@MuriloMachado-t4x,6,0
@luanavalerio2702,1,0
@rudysson.medeiros,1,0
@Psicografiauniversal,1,0
@idemiasouza2977,1,0
@EdgeGa,1,0
@LegftGrett,1,2
@NeuzaRodrigues-f9n6k,0,0
@mariaeduardaabranches5910,1,0
@Joãoart1,1,0
@BaoThanh-p2e,1,0
@DanielSantos-f2c,1,0
@setearcano,1,2
@rafaelawuu,0,0
@rafaelaszmaragd4638,1,0
@JoséEduardodosSantosSantos-d4v,1,0
@Megzinha-234,1,0
@LuisGustavoPires-d8c,1,0
@gislainedurski5412,1,0
@milaantunes2382,1,1
@murilogarcia6924,0,0
@juniorfernandoSk8,1,5
@Joynicekk,0,0
@angeldevoss,0,0
@pouRTX,0,0
@Young.Xister,1,0
@OneTipy,1,0
@Playerrinv01,1,0
@Jiu-jitsuMetanoia,1,1
@Emma_happy-v6n,1,0
@emanoelviniciusalexandrino8802,1,0
@OFF_INFINYT,1,0
@wwendyeii,1,0
@KauanyDarosa-y9p,2,4
@josyfonseca3593,0,0
@FiftitAlex,1,0
